Comp,Cond,Metric,Peak,Lat,Mean,Subject
EPN,Nat,PeakAmp,1.210399,300,2.952415,sub-NSNP801
EPN,Urb,PeakAmp,-0.01763858,196,1.127349,sub-NSNP801
EPN,Nat,PeakAmp,-3.623124,168,-1.372105,sub-NSNP815
EPN,Urb,PeakAmp,-2.255096,300,-0.2300812,sub-NSNP815
EPN,Nat,PeakAmp,-0.4959914,224,0.1031206,sub-NSNP816
EPN,Urb,PeakAmp,-0.5420878,152,0.3325986,sub-NSNP816
EPN,Nat,PeakAmp,-3.888576,200,-0.5358735,sub-NSNP907
EPN,Urb,PeakAmp,-3.532366,192,-0.7556345,sub-NSNP907
EPN,Nat,PeakAmp,-1.947737,196,-0.1107308,sub-NSNP813
EPN,Urb,PeakAmp,-3.104922,184,-0.0421515,sub-NSNP813
EPN,Nat,PeakAmp,-10.28724,296,-1.262866,sub-NSNP906
EPN,Urb,PeakAmp,-14.29721,292,-3.222062,sub-NSNP906
EPN,Nat,PeakAmp,-2.868021,204,-0.4894696,sub-NSNP812
EPN,Urb,PeakAmp,-2.941742,200,0.2416292,sub-NSNP812
EPN,Nat,PeakAmp,-1.920217,224,-0.9320341,sub-NSNP905
EPN,Urb,PeakAmp,-1.154985,196,-0.08015014,sub-NSNP905
EPN,Nat,PeakAmp,-1.811866,172,0.9182388,sub-NSNP809
EPN,Urb,PeakAmp,-2.392656,172,0.2645318,sub-NSNP809
EPN,Nat,PeakAmp,0.9205579,168,3.009168,sub-NSNP808
EPN,Urb,PeakAmp,0.4222593,172,2.391327,sub-NSNP808
EPN,Nat,PeakAmp,-3.416876,172,-0.262997,sub-NSNP807
EPN,Urb,PeakAmp,-5.36881,208,-0.6477217,sub-NSNP807
EPN,Nat,PeakAmp,0.6346173,192,2.333922,sub-NSNP806
EPN,Urb,PeakAmp,-0.2641604,200,1.656255,sub-NSNP806
EPN,Nat,PeakAmp,-1.437135,180,1.081084,sub-NSNP810
EPN,Urb,PeakAmp,-2.436778,172,0.6539458,sub-NSNP810
EPN,Nat,PeakAmp,-3.452681,184,-0.4690142,sub-NSNP805
EPN,Urb,PeakAmp,-3.20904,192,-1.153223,sub-NSNP805
EPN,Nat,PeakAmp,-3.824537,180,0.134926,sub-NSNP804
EPN,Urb,PeakAmp,-5.231324,184,-0.6080618,sub-NSNP804
EPN,Nat,PeakAmp,-0.8531634,208,0.9334463,sub-NSNP803
EPN,Urb,PeakAmp,-0.6719472,208,0.7196729,sub-NSNP803
EPN,Nat,PeakAmp,-2.570939,228,0.7365183,sub-NSNP908
EPN,Urb,PeakAmp,-1.147152,220,1.382796,sub-NSNP908
EPN,Nat,PeakAmp,-0.7073594,220,0.383866,sub-NSNP904
EPN,Urb,PeakAmp,-1.841793,228,-0.2964219,sub-NSNP904
EPN,Nat,PeakAmp,-4.615359,188,0.3867497,sub-NSNP802
EPN,Urb,PeakAmp,-2.829053,192,0.6883649,sub-NSNP802
EPN,Nat,PeakAmp,-0.06648413,148,0.8854377,sub-SR004
EPN,Urb,PeakAmp,-0.7464805,148,0.2916176,sub-SR004
EPN,Nat,PeakAmp,-0.4302955,148,1.060222,sub-SR006
EPN,Urb,PeakAmp,-0.6881819,148,0.6108321,sub-SR006
EPN,Nat,PeakAmp,-2.86864,160,0.4311717,sub-SR007
EPN,Urb,PeakAmp,-3.291634,164,-0.282805,sub-SR007
EPN,Nat,PeakAmp,-1.118816,160,2.049651,sub-SR002
EPN,Urb,PeakAmp,-1.562798,160,1.370583,sub-SR002
EPN,Nat,PeakAmp,-4.332475,200,-1.54628,sub-SR001
EPN,Urb,PeakAmp,-2.985094,164,-0.5546977,sub-SR001
EPN,Nat,PeakAmp,-1.59314,148,3.492239,sub-SR008
EPN,Urb,PeakAmp,-1.197265,148,2.557436,sub-SR008
EPN,Nat,PeakAmp,-0.6415617,220,0.2301492,sub-SR009
EPN,Urb,PeakAmp,-0.5184808,192,0.03967862,sub-SR009
EPN,Nat,PeakAmp,-2.837176,172,-0.6898751,sub-SR011
EPN,Urb,PeakAmp,-2.414198,164,-0.2148728,sub-SR011
EPN,Nat,PeakAmp,-1.364402,172,-0.06318223,sub-SR013
EPN,Urb,PeakAmp,-1.189328,156,-0.2463013,sub-SR013
EPN,Nat,PeakAmp,-0.7581866,152,0.2412187,sub-SR015
EPN,Urb,PeakAmp,-1.141111,156,-0.2681703,sub-SR015
